"","CalBP","PrDens"
"656",6345,0.00014455824456048
"657",6344,0.000144763973935991
"658",6343,0.000144969903598557
"659",6342,0.000145176033342311
"660",6341,0.000145382362959357
"661",6340,0.000145588892239761
"662",6339,0.000145795620971551
"663",6338,0.000146002548940701
"664",6337,0.000146209675931131
"665",6336,0.000146417001724696
"666",6335,0.000146624526101181
"667",6334,0.00014683224883829
"668",6333,0.000147040169711644
"669",6332,0.000147248288494771
"670",6331,0.000147456604959098
"671",6330,0.000147665118873947
"672",6329,0.000147873830006524
"673",6328,0.000148082738121914
"674",6327,0.000148291842983074
"675",6326,0.000148501144350825
"676",6325,0.000148710641983843
"677",6324,0.000148920335638657
"678",6323,0.000149130225069635
"679",6322,0.000149340310028983
"680",6321,0.000149550590266735
"681",6320,0.000149761065530742
"682",6319,0.000149971735566673
"683",6318,0.000150182600118
"684",6317,0.000150393658925996
"685",6316,0.000150604911729724
"686",6315,0.000150816358266033
"687",6314,0.000151027998269548
"688",6313,0.000151239831472663
"689",6312,0.000151451857605536
"690",6311,0.000151664076396079
"691",6310,0.000151876487569954
"692",6309,0.000152089090850561
"693",6308,0.000152301885959035
"694",6307,0.000152514872614236
"695",6306,0.000152728050532743
"696",6305,0.000152941419428846
"697",6304,0.000153154979014541
"698",6303,0.000153368728999517
"699",6302,0.000153582669091155
"700",6301,0.000153796798994518
"701",6300,0.000154011118412343
"702",6299,0.000154225627045034
"703",6298,0.000154440324590655
"704",6297,0.000154655210744925
"705",6296,0.000154870285201204
"706",6295,0.000155085547650494
"707",6294,0.000155300997781425
"708",6293,0.000155516635280252
"709",6292,0.000155732459830845
"710",6291,0.000155948471114683
"711",6290,0.000156164668810846
"712",6289,0.000156381052596007
"713",6288,0.000156597622144426
"714",6287,0.000156814377127944
"715",6286,0.000157031317215971
"716",6285,0.000157248442075483
"717",6284,0.000157465751371013
"718",6283,0.000157683244764642
"719",6282,0.000157900921915997
"720",6281,0.000158118782482235
"721",6280,0.000158336826118045
"722",6279,0.000158555052475634
"723",6278,0.000158773461204722
"724",6277,0.000158992051952535
"725",6276,0.000159210824363798
"726",6275,0.000159429778080725
"727",6274,0.000159648912743015
"728",6273,0.000159868227987841
"729",6272,0.000160087723449848
"730",6271,0.000160307398761139
"731",6270,0.000160527253551274
"732",6269,0.000160747287447258
"733",6268,0.000160967500073535
"734",6267,0.000161187891051982
"735",6266,0.000161408460001901
"736",6265,0.000161629206540011
"737",6264,0.000161850130280439
"738",6263,0.000162071230834719
"739",6262,0.000162292507811776
"740",6261,0.000162513960817924
"741",6260,0.000162735589456861
"742",6259,0.000162957393329655
"743",6258,0.00016317937203474
"744",6257,0.000163401525167911
"745",6256,0.000163623852322312
"746",6255,0.000163846353088434
"747",6254,0.000164069027054103
"748",6253,0.000164291873804474
"749",6252,0.000164514892922026
"750",6251,0.000164738083986552
"751",6250,0.000164961446575153
"752",6249,0.000165184980262231
"753",6248,0.000165408684619481
"754",6247,0.000165632559215883
"755",6246,0.000165856603617698
"756",6245,0.000166080817388455
"757",6244,0.000166305200088951
"758",6243,0.000166529751277239
"759",6242,0.000166754470508619
"760",6241,0.000166979357335638
"761",6240,0.000167204411308075
"762",6239,0.00016742963197294
"763",6238,0.000167655018874462
"764",6237,0.000167880571554084
"765",6236,0.000168106289550457
"766",6235,0.000168332172399431
"767",6234,0.000168558219634048
"768",6233,0.000168784430784535
"769",6232,0.000169010805378298
"770",6231,0.000169237342939915
"771",6230,0.000169464042991125
"772",6229,0.000169690905050825
"773",6228,0.000169917928635064
"774",6227,0.000170145113257031
"775",6226,0.000170372458427052
"776",6225,0.00017059996365258
"777",6224,0.00017082762843819
"778",6223,0.000171055452285574
"779",6222,0.000171283434693527
"780",6221,0.000171511575157949
"781",6220,0.000171739873171829
"782",6219,0.000171968328225247
"783",6218,0.000172196939805359
"784",6217,0.000172425707396394
"785",6216,0.000172654630479649
"786",6215,0.000172883708533477
"787",6214,0.000173112941033284
"788",6213,0.000173342327451521
"789",6212,0.000173571867257677
"790",6211,0.00017380155991827
"791",6210,0.000174031404896846
"792",6209,0.000174261401653965
"793",6208,0.0001744915496472
"794",6207,0.000174721848331126
"795",6206,0.000174952297157317
"796",6205,0.000175182895574335
"797",6204,0.000175413643027727
"798",6203,0.000175644538960016
"799",6202,0.000175875582810696
"800",6201,0.000176106774016223
"801",6200,0.000176338112010011
"802",6199,0.000176569596222422
"803",6198,0.000176801226080763
"804",6197,0.000177033001009277
"805",6196,0.000177264920429138
"806",6195,0.000177496983758442
"807",6194,0.000177729190412203
"808",6193,0.000177961539802345
"809",6192,0.000178194031337695
"810",6191,0.000178426664423979
"811",6190,0.000178659438463812
"812",6189,0.000178892352856695
"813",6188,0.000179125406999006
"814",6187,0.000179358600283993
"815",6186,0.000179591932101773
"816",6185,0.000179825401839318
"817",6184,0.000180059008880454
"818",6183,0.000180292752605851
"819",6182,0.000180526632393023
